source;translation;type;module;status;customer
"Transactions";"Transakcije";S;merchant;T;N
"Raw clicks list";"Lista svih klikova";B;merchant;T;N
"Commissions";"Provizije";B;;T;N
"Reports";"Izveštaji";B;;T;N
"Trends report";"Izveštaj o trendovima";B;;T;N
"Payouts history";"Istorija isplata";B;;T;N
"Payouts by affiliate";"Isplate po partnerima";B;merchant;T;N
"Payouts";"Isplate";B;merchant;T;N
"Pay affiliates";"Plaćanje partnerima";B;merchant;T;N
"Communication";"Komunikacija";B;;T;N
"Send message";"Pošaljite poruku";S;merchant;T;N
"Configuration";"Podešavanja";B;merchant;T;N
"Tracking settings";"Podešavanja praćenja";B;merchant;T;N
"Affiliate panel";"Panel Partnera";C;merchant;T;N
"Tools";"Alati";B;;T;N
"Integration";"Integracija";B;merchant;T;N
"Import / Export";"Uvoz / Izvoz";B;merchant;T;N
"Event logs";"Log dešavanja";B;merchant;T;N
"Online users";"Korisnici na vezi";B;;T;N
"Database status";"Status baze podataka";B;;T;N
"User cannot be found";"Korisnik nije pronađen";S;affiliate;T;N
"Email was successfully sent to merchant";"Email je uspešno poslat trgovcu";S;affiliate;T;N
"Email notifications saved";"Email obaveštenja su sačuvana";S;;T;N
"Banner";"Baner";B;;T;N
"none active";"nema aktivnih";S;;T;N
"per click";"po Kliku";B;;T;N
"per sale";"po Prodaji";B;;T;N
"ID";"Id";B;;T;N
"Name";"Ime";B;;T;N
"Description";"Opis";B;;T;N
"Status";"Status";B;;N;N
"Date created";"Datum kreiranja";S;;T;N
"Actions";"Akcije";B;;T;N
"Channel";"Kanal";B;;T;N
"Failed to save %s field(s). Data with value '";"Nije uspelo čuvanje %s polja. Podaci sa vrednostima '";S;affiliate;T;N
"Failed to save %s field(s)";"Nije uspelo čuvanje %s polja";S;;T;N
"%s field(s) successfully saved";"%s polje(a) uspešno sačuvano(a)";S;;T;N
"User";"Korisnik";S;;T;N
"Channel name";"Ime kanala";S;affiliate;T;N
"Pattern didn't matched the URL, check your pattern";"Obrazac se ne poklapa sa URLom, proverite obrazac";S;affiliate;T;N
"Pattern matched the URL";"Obrazac odgovara URLu";S;affiliate;T;N
"Login";"Prijava";B;;T;N
"First name";"Ime";B;;T;N
"Last name";"Prezime";B;;T;N
"Referral ID";"Referal ID";B;;T;N
"I agree with terms & conditions";"Prihvatam uslove i obaveze";B;;T;N
"Cannot find invoice";"Faktura nije pronađena";S;;T;N
"Affiliate";"Partner";B;;T;N
"Date of registration";"Datum registracije";S;affiliate;T;N
"% in total sales";"% od ukupnih prodaja.";S;affiliate;T;N
"% of total sales";"% od ukupno prodaja";S;affiliate;T;N
"% of total commissions";"% od ukupne provizije";S;affiliate;T;N
"Commission";"Provizija";B;;T;N
"Total cost";"Ukupna cena";B;;T;N
"Order ID";"ID porudžbine";B;;T;N
"Product ID";"ID proizvoda";B;;T;N
"Created";"Kreirano";B;;T;N
"Campaign Name";"Ime kampanje";B;;T;N
"Type";"Vrsta";B;;T;N
"Affiliate username";"Korisničko ime partnera";S;;T;N
"Paid";"plaćeno";B;;T;N
"Ip";"IP";S;;N;N
"Referer";"Referer";B;;N;N
"Recurring commison id";"Id obnovljene provizije";S;;T;N
"Payout history id";"ID istorije plaćanja";S;;T;N
"Click count";"Broj klikova";S;;T;N
"First click time";"Prvi klik vreme";S;;T;N
"First click referer";"Prvi klik izvor";S;;T;N
"First click ip";"Prvi klik ip";S;;T;N
"First click data 1";"Prvi klik podatak 1";S;;T;N
"First click data 2";"Prvi klik podatak 2";S;;T;N
"Last click time";"Zadnjki klik vreme";S;;T;N
"Last click referer";"Zadnjki klik izvor";S;;T;N
"Last click ip";"Zadnjki klik ip";S;;T;N
"Last click data 1";"Zadnjki klik podatak 1";S;;T;N
"Last click data 2";"Zadnjki klik podatak 2";S;;T;N
"Extra data 1";"Ekstra podaci 1";B;;T;N
"Extra data 2";"Ekstra podaci 2";B;;T;N
"Extra data 3";"Ekstra podaci 3";S;;T;N
"Extra data 4";"Ekstra podaci 4";S;;T;N
"Extra data 5";"Ekstra podaci 5";S;;T;N
"Merchant note";"Trgovci pažnja";B;;T;N
"Banner name";"Ime bannera";S;merchant;T;N
"Banner preview";"Pregled Banera";S;merchant;T;N
"Campaign";"Kampanja";B;;T;N
"Target URL";"Ciljani URL";B;;T;N
"Banner type";"Vrsta banera";S;;T;N
"Html data is not defined";"Html podaci nisu definisani";S;;T;N
"File name is not defined";"Ime fajla nije određeno";S;;T;N
"unknown";"Nepoznato";B;;T;N
"approved";"Odobreno";B;;T;N
"pending";"Na čekanju";B;;T;N
"User Id";"Id Korisnika ";S;;T;N
"Payment date";"Datum plaćanja";S;;T;N
"Username";"Korisničko ime ";B;;T;N
"Amount";"Iznos";B;;T;N
"Note to affiliate";"Korisnici Pažnja";S;;T;N
"Original currency ID";"ID originalne valute";S;;T;N
"Original currency rate";"Kurs originalne valute";S;;T;N
"Original currency value";"Vrednost originalne valute";S;;T;N
"System note";"Sistemska beleška";B;;T;N
"Country code";"Kod države";S;;T;N
"Affiliate first name";"Ime partnera";S;;T;N
"Affiliate last name";"Prezime partnera";S;;T;N
"3rd party cookie";"Kolačić treće strane";B;;T;N
"1st party cookie";"kolačić 1. strane";B;;T;N
"Flash cookie";"Fleš kolačić";B;;T;N
"Forced parameter";"Primorani parametar";B;;T;N
"IP address";"IP adresa";B;;T;N
"Default affiliate";"Osnovni partner";B;;T;N
"Url";"URL";B;;N;N
"Note";"Pažnja";B;;T;N
"Status does not have allowed value";"Status nema dozvoljenu vrednost";S;;T;N
"Selected username already exists";"Izabrano korisničko ime već postoji";S;;T;N
"Failed to change status for %s user(s)";"Promena statusa nije uspela za korisnika(e) %s";S;;T;N
"Status successfully changed for %s user(s)";"Status korisnika  %s je uspešno promenjen";S;;T;N
"Password";"Lozinka";B;;T;N
"Title must be unique";"Naziv mora biti jedinstven";S;affiliate;T;N
"Selected parent affiliate does not exist";"Izabrani stariji partner ne postoji";S;;T;N
"Failed loading file %s with error: %s";"Učitavanje fajla %s nije uspelo. Greška: %s";S;;T;N
"Merchant - New User Signup";"Trgovac - Nova registracija korisnika";B;merchant;T;N
"New user signed up";"Novi korisnik je registrovan";B;merchant;T;N
"Email subject";"Tema Emaila";S;merchant;T;N
"Email text";"Email tekst";S;merchant;T;N
"Merchant - Affiliate filled Contact us form";"Trgovac - Partner je popunio formu za kontakt";B;merchant;T;N
"Affiliate filled Contact us form";"Partner je popunio Kontakt formu";B;merchant;T;N
"Merchant - New Sale / Lead";"Trgovac - Nova Prodaja / Postupak";B;merchant;T;N
"New sale / lead";"Nova prodaja / postupak";B;;T;N
"Affiliate - New User Signup Approved";"Partner - Novo učlanjenje korisnika odobreno";B;;T;N
", welcome to our affiliate program";", dobrodošli u naš partnerski program";B;;T;N
"Affiliate - New User Signup Before Approval";"Partner - Novo učlanjenje korisnika pre odobrenja";B;;T;N
"Paid amount";"Plaćeni iznos";S;;T;N
"Paid currency";"Isplaćena valuta";S;;T;N
"Payout method";"Metod isplate";B;;T;N
"Affiliate - On payout";"Partner - Po isplati";B;;T;N
"Your commissions";"Vaše provizije";B;;T;N
"Affiliate - New Subaffiliate Sale / Lead";"Partner - Nova podpartner Prodaja / Postupak";B;affiliate;T;N
"New subaffiliate sale / lead";"Nova pod-partner prodaja / postupak";B;affiliate;T;N
"Affiliate - New Subaffiliate signup";"Partner - Novo podpartner učlanjenje";B;affiliate;T;N
"New subaffiliate signed up";"Registrovan je novi pod-partner";B;affiliate;T;N
"VAT percentage";"PDV procenat";B;;T;N
"VAT number";"PDV broj";B;;T;N
"Registration number";"Registracioni broj";B;;T;N
"VAT part";"PDV deo";B;;T;N
"Payment incl. VAT";"Plaćanje sa PDVom";B;;T;N
"Payment excl. VAT";"Plaćanje bez PDVa";B;;T;N
"Affiliate - On VAT payout";"Partner - Po PDV isplati";B;;T;N
"Transaction ID";"ID Transakcije";B;;T;N
"TotalCost";"Ukupna cena";S;;T;N
"Campaign ID";"ID Kampanje";S;;T;N
"Referer URL";"URL Referera";S;;T;N
"First click - time";"Prvi klik - vreme";S;;T;N
"First click - referer";"Prvi klik - izvor";S;;T;N
"First click - IP";"Prvi klik - IP";S;;T;N
"First click - data1";"Prvi klik - podatak1";S;;T;N
"First click - data2";"Prvi klik - podatak2";S;;T;N
"Last click - time";"Zadnjki klik - vreme";S;;T;N
"Last click - referer";"Zadnjki klik - izvor";S;;T;N
"Last click - IP";"Zadnjki klik - IP";S;;T;N
"Last click - data1";"Zadnjki klik - podatak1";S;;T;N
"Last click - data2";"Zadnjki klik - podatak2";S;;T;N
"Transaction data1";"Transakcija podatak1";S;;T;N
"Transaction data2";"Transakcija podatak2";S;;T;N
"Transaction data3";"Transakcija podatak3";S;;T;N
"Transaction data4";"Transakcija podatak4";S;;T;N
"Transaction data5";"Transakcija podatak5";S;;T;N
"Note to merchant";"Trgovci Pažnja";S;;T;N
"Original currency";"Originalna valuta";S;;T;N
"Banner does not exist";"Baner ne postoji";S;merchant;T;N
"Server error: Unknown type given for BannerForm._save()";"Greška servera: Nepoznat tip dat za BannerForm._save()";S;merchant;T;N
"Banner was saved";"Baner je sačuvan";S;merchant;T;N
"Imps";"Prikazivanja";S;merchant;T;N
"Clicks";"klikovi";B;;T;N
"CTR";"CTR";S;;N;N
"Order";"Porudžbina";B;merchant;T;N
"BannersImportExportDescription";"Definicije banera – skrećemo pažnju da je ovaj  uvoz/izvoz samo za definicije, ne podrazumeva fizički fajlove i slike";B;merchant;T;N
"Campaign does not exist";"Kampanja ne postoji";S;merchant;T;N
"Campaign capping saved";"Glavni opis kampanje je sačuvan";S;merchant;T;N
"Number of transactions in 'Active until' campaign validity has to be set";"Broj transakcija u trajanju kampanje 'Aktivno do'  mora biti određen";S;merchant;T;N
"There are missing From and To dates for 'Active in date range' campaign validity";"Nedostaju Od i Za podaci za 'Aktivni u vremenskom periodu' važeće kampanje";S;merchant;T;N
"Commission successfully computed";"Provizija je uspešno obračunata";S;merchant;T;N
"User is not valid!";"Korisnik nije ispravan!";S;merchant;T;N
"Campaign is not valid!";"Kampanja nije važeća!";S;merchant;T;N
"Transaction type is not valid or doesn't exist in this campaign!";"Vrsta transakcije nije ispravna ili ne postoji u ovoj kampanji!";S;merchant;T;N
"Cannot recognize commission group for this user in campaign!";"Za ovog korisnika u kampanji nije prepoznata grupa provizije!";S;merchant;T;N
"Error getting commission settings!";"Greška u pozivanju podešavanja provizija!";S;merchant;T;N
"Error, for percentage commissions you have to define Total cost!";"Greška, za procentualnu proviziju morate da definišete ukupnu krajnju cenu!";S;merchant;T;N
"You cannot deactivate default campaign";"Ne možete isključiti osnovnu kapanju";S;merchant;T;N
"You cannot delete default campaign";"Ne možete obrisati osnovnu kampanju";S;merchant;T;N
"Default";"Osnovno";B;;T;N
"per sale / lead";"po prodaji / postupku";B;;T;N
"CampaignsImportExportDescription";" Podešavanja kampanja i njihovih provizija";B;merchant;T;N
"loadCommissionGroups: campaignId is empty";"Učitane Provizije Grupe: IdKampanje nije definisan";S;merchant;T;N
"Campaign ID cannot be empty!";"ID kampanje ne može biti prazan!";S;merchant;T;N
"CommissionTypeId (Id) cannot be empty!";"ProvizijaVrstaId (Id) nemože biti prazno!";S;merchant;T;N
"CommissionGroupId cannot be empty!";"ProvizijaGrupaId ne može biti prazno!";S;merchant;T;N
"Commission type does not exist";"Vrsta provizije ne postoji";S;merchant;T;N
"Commissions saved successfully";"Provizija uspešno sačuvana";S;merchant;T;N
"Field 'type' does not exist";"Polje 'vrsta' ne postoji";S;merchant;T;N
"Failed to change status";"Promena statusa nije uspela";S;merchant;T;N
"Status successfully changed";"Status je uspešno promenjen";S;merchant;T;N
"CommissionsImportExportDescription";"Provizije (transakcije, narudžbine) koje je sistem registrovao";B;merchant;T;N
"Affiliate screen";"Ekran partnera";S;merchant;T;N
"Affiliate panel menu saved";"Partner panel Meni je sačuvan";S;merchant;T;N
"Error changing default theme";"Greška prilikom promene osnovne teme";S;merchant;T;N
"Default theme changed";"Osnovna tema je promenjena";S;merchant;T;N
"Program name and logo saved";"Ime programa i logo su sačuvani";S;merchant;T;N
"Affiliate signup settings saved";"Podešavanja registracije partnera su sačuvana";S;merchant;T;N
"Banner format successfully saved";"Format bannera je uspešno sačuvan";S;merchant;T;N
"Cookies settings saved";"Podešavanja kolačića su sačuvana";S;merchant;T;N
"Symbol";"Simbol";B;;T;N
"Precision";"Tačnost";B;;T;N
"Where to display";"Gde da se prikaže";B;;T;N
"Exchange rate";"Odnos razmene";S;;T;N
"NEW";"Novo";B;;T;N
"Currency";"Valuta";B;;T;N
"Fraud protections saved";"Zaštita od prevara sačuvana";S;merchant;T;N
"Logging saved";"Sačuvani Logovi";S;merchant;T;N
"Parameter names saved";"Imena parametara sačuvana";S;merchant;T;N
"Tracking saved";"Praćenja sačuvana";S;merchant;T;N
"URLs & Directories saved";"URLovi & Direktorijumi su sačuvani";S;merchant;T;N
"Affiliates successfully paid";"Partner je uspešno isplaćen";S;merchant;T;N
"Email";"email";B;;T;N
"VAT";"PDV";S;merchant;T;N
"To pay";"Za isplatu";S;merchant;T;N
"Declined";"Poništeno";B;;T;N
"Minimum payout";"Minimalna isplata";S;merchant;T;N
"Payout data";"Podaci isplate";B;merchant;T;N
"N/A";"N/D";S;merchant;T;N
"New payout option";"Nova opcija isplate";S;merchant;T;N
"New payout option %s";"Nova opcija isplate %s";S;merchant;T;N
"Payout option";"Opcija isplate";S;merchant;T;N
"Payout history";"Istorija plaćanja";S;merchant;T;N
"Date paid";"Datum plaćanja ";S;merchant;T;N
"Payees";"primaoci";S;merchant;T;N
"Total amount";"Ukupan iznos";S;merchant;T;N
"Affiliate note";"Partneri pažnja";B;merchant;T;N
"payee";"primalac";S;merchant;T;N
"Date";"Datum";B;;T;N
"Data 1";"Podatak 1";B;merchant;T;N
"Data 2";"Podatak 2";B;merchant;T;N
"Clicks raw";"Klikovi osnovni";S;;T;N
"Clicks unique";"Jedinstveni klikovi";S;;T;N
"Raw clicks older than %s are deleted";"Svi klikovi striji od %s su obrisani";S;merchant;T;N
"Failed to delete raw clicks";"Brisanje svih klikova nije uspelo";S;merchant;T;N
"Impressions raw";"Sva prikazivanja";S;;T;N
"Impressions unique";"Jedinstvena prikazivanja";S;;T;N
"Sales count";"Broj prodaje";S;;T;N
"Table name";"Ime tabele";S;merchant;T;N
"Records";"Zapisi";S;merchant;T;N
"Total size";"Ukupna veličina";S;merchant;T;N
"Data size";"Veličina podataka";S;merchant;T;N
"Index size";"Veličina indeksa";S;merchant;T;N
"Transaction";"Transakcija";B;;T;N
"Payout status";"Status isplate";B;merchant;T;N
"Data 3";"Podatak 3";B;merchant;T;N
"Data 4";"Podatak 4";B;merchant;T;N
"Data 5";"Podatak 5";B;merchant;T;N
"Tracked by";"Praćenje po";B;merchant;T;N
"Time";"Vreme";B;;T;N
"Click data 1";"Klik podatak 1";B;merchant;T;N
"Click data 2";"Klik podatak 2";B;merchant;T;N
"unpaid";"Neisplaćeno";B;;T;N
"Username must be valid email address";"Korisničko ime mora biti ispravna email adresa";S;;T;N
"You have to agree with terms & conditions";"Morate se složiti sa Uslovima i Odredbama";B;;T;N
"Payout settings saved";"Podešavanja isplata su sačuvana";S;merchant;T;N
"Affiliate details";"Detalji partnera";B;merchant;T;N
"Date joined";"Datum registracije";B;;T;N
"Date approved";"Datum odobrenja";B;merchant;T;N
"Parent";"Stariji";S;merchant;T;N
"Firstname";"Ime";B;;T;N
"Lastname";"Prezimr";B;;T;N
"Parent ID";"Stariji ID";S;merchant;T;N
"Parent username";"Stariji korisničko ime";S;merchant;T;N
"Parent first name";"Stariji ime";S;merchant;T;N
"Parent last name";"Stariji prezime";S;merchant;T;N
"AffiliatesImportExportDescription";"Podaci partnera – možete koristiti za ubacivanje novih partnera u sistem";B;merchant;T;N
"Status successfully set to selected url(s)";"Status je uspešno podešen na izabrani(e) url(ove)";S;merchant;T;N
"Failed to set status selected url(s)";"Postavljanje statusa izabrane(im) url(ovima) nije uspelo";S;merchant;T;N
"Commission group";"grupa provizije";B;;T;N
"Commision group";"Grupa provizije";S;merchant;T;N
"Selected commission group(s) are changed";"Izabrana grupa(e) provizije(a) je(su) promenjena(e)";S;merchant;T;N
"Changes saved";"Promene sačuvane";S;;T;N
"Application Name";"Post Affiliate Pro";S;;T;N
"New password URL";"URL za novu lozinku";S;;T;N
"Request valid until";"Zahtev važi do";S;;T;N
"Request new password";"Zahtev za novu lozinku";B;;T;N
"Wrong username/password";"Pogrešno korisničko ime / lozinka";S;;T;N
"Select account";"Izaberite nalog";B;;T;N
"Authentication failed";"Identifikovanje nije ispelo";S;;T;N
"User authenticated. Logging in.";"Korisnik je identifikovan. Prijava u toku.";S;;T;N
"You entered invalid security code";"Niste uneli ispravan sigurnosni kod";S;;T;N
"You entered invalid username";"Korisničko ime nije ispravno";S;;T;N
"Within a few minutes you will receive instruction on how to reset you password.";"Za nekoliko minuta na vaš email će stići instrukcije kako da postavite novu lozinku.";S;;T;N
"Your password was changed. Go back to login dialog and login.";"Vaša lozinka je promenjena. Vratite se na stranicu za prijavu o prijavite se.";S;;T;N
"Logout error";"Greška pri odjavi";S;;T;N
"Logout successful";"Odjavili ste se uspešno";S;;T;N
"Invalid password request. You have to request again new password before trying to set password.";"Zahtev za lozinku nije validan. Pre nego što odredite novu lozinku morate zatražiti promenu lozinke.";S;;T;N
"User account not approved yet";"Korisnički nalog još nije odobren";S;;T;N
"File to export is not defined";"Fajl koji se izvozi nije određen";S;;T;N
"Unsupported";"Nije podržano";S;;T;N
"Import file is not defined";"Fajl za uvoz nije određen";S;;T;N
"Export data";"Izvezite podatke";B;;T;N
"Data was successfully exported to file %s";"Podaci su uspešno izvezeni u fajl %s";S;;T;N
"File name";"Ime fajla";B;;T;N
"Modules";"Moduli";S;;T;N
"Size";"Veličina";S;;T;N
"Could not create account. (%s)";"Nije moguće kreirati nalog (%s)";S;;T;N
"Directory %s is not writable by web server user. Please remove it or set write permissions.";"Direktorijum %s nema dozvole za pisanje. Molimo vas da ovo uklonite ili da postavite dozvole za pisanje (chmod).";S;;T;N
"Failed to delete %s filter(s)";"Brisanje filtera %s nije uspelo";S;;T;N
"%s filter(s) successfully deleted";"%s filter(i) uspešno obrisan(i)";S;;T;N
"Failed to load default mail account. Please check your mail account settings.";"Nije uspelo učitavanje osnovnog mail naloga. Proverite podešavanje naloga.";S;;T;N
"View name must be unique";"Ime pogleda mora biti jedinstvaeno";S;;T;N
"Maximum length of %s in %s is %s";"Maksimalna dižina %s u %s je %s";S;;T;N
"Relation constraint";"Konstanta relacije";S;;T;N
"must be unique";"mora biti jedinstveno";S;;T;N
"Error changing theme";"Greška u promeni teme";S;;T;N
"Theme changed";"Tema je promenjena";S;;T;N
"Failed to delete %s wallpaper(s)";"Brisanje %s pozadine(a)  nije uspelo";S;;T;N
"%s wallpaper(s) successfully deleted";"%s pozadina(e) uspešno obrisana(e)";S;;T;N
"Failed to save wallpaper with error %s";"Pozadina nije sačuvana. Greška %s";S;;T;N
"Wallpaper saved.";"Pozadina sačuvana";S;;T;N
"Side bar saved";"Side bar je sačuvan";S;;T;N
"Windows saved";"Prozori sačuvani";S;;T;N
"Quick Launch saved";"Brzo biranje sačuvano";S;;T;N
"File does not exist";"Fajl ne postoji";S;;T;N
"File was successfully uploaded";"Fajl je uspešno podignut";S;;T;N
"Unsupported gadget";"Spravica nije podržana";S;;T;N
"Gadget";"Spravica";S;;T;N
"Gadget added";"Spravica je dodata";S;;T;N
"Failed to close gadget";"Zatvaranje spravice nije uspelo";S;;T;N
"Gadget successfully closed";"Spravica je uspešno zatvorena";S;;T;N
"Docking";"Parkiranje";S;;T;N
"Gadgets saved";"Spravica je sačuvana";S;;T;N
"Create Account";"Kreirajte nalog";B;;T;N
"Account is already created.";"Nalog je već kreiran.";S;;T;N
"Create Database";"Kreirajte bazu podataka";B;;T;N
"Could not create database. %s";"Nije moguće kreirati bazu podataka. %s";S;;T;N
"doesnt exist's";"ne postoji";S;;T;N
"advanced search";"napredna pretraga";C;;T;N
"Error during database creation.";"Greška u toku kreiranje baze podataka.";S;;T;N
"OK";"Uredu";B;;T;N
"Failed to read headers of CSF file %s";"Nije uspelo čitanje heada CSF fajla %s";S;;T;N
"Could not change permissions %s";"Dozvole nisu mogle biti promenjene %s";S;;T;N
"Could not open file";"Nije moguće otvoriti fajl";S;;T;N
"Could not read file";"Nije moguće pročitati fajl";S;;T;N
"Rewind unsupported in this file stream";"Premotavanje nije podržano u ovom strimingu";S;;T;N
"File %s does not exist.";"Fajl %s ne postoji";S;;T;N
"Failed to read file %s";"Nije uspelo čitanje fajla %s";S;;T;N
"Could not create directory %s";"Nije moguće kreirati direktorijum %s";S;;T;N
"Could not open language file %s";"Nije moguće otvoriti jezički fajl %s";S;;T;N
"Level";"Nivo";S;;T;N
"Message";"Poruka";B;;T;N
"File";"Fajl";S;;T;N
"Line";"Linija";B;;T;N
"Group ID";"ID Grupe";S;;T;N
"Log event";"Log dešavanja";S;;T;N
"Event(s) are deleted";"Dešavanje(a) obrisano(a)";S;;T;N
"No event(s) to delete";"Nema dešavanja za brisanje";S;;T;N
"Debug event(s) are deleted";"Dešavanje(a) debagovanja obrisano";S;;T;N
"No debug event(s) to delete";"Nema dešavanja koji su za brisanje";S;;T;N
"Mail Account Name";"Ime mail naloga";S;;T;N
"From Name";"Od ime";B;;T;N
"From Email";"Od Email";S;;T;N
"Use SMTP protocol";"Koristite SMTP protokol";S;;T;N
"SMTP Server";"SMTP Server";B;;N;N
"SMTP Port";"SMTP Port";B;;N;N
"SMTP Authentication";"SMTP Identifikacija";S;;T;N
"Use SSL connection";"Koristite SSL konekciju";S;;T;N
"SMTP Username";"SMTP Korisničko ime";S;;T;N
"Is default mail account";"Osnovni email nalog";S;;T;N
"Yes";"Da";B;;T;N
"No";"Ne";B;;T;N
"Email account test mail";"Test za Email nalog";B;;T;N
"Default Mail Account";"Osnovni EMail nalog";S;;T;N
"Email settings saved";"Podešavanja emaila su sačuvana";S;;T;N
"Test mail scheduled, check outbox if it was sent.";"Test poruka je kreirana, proverite da li je  poslata.";S;;T;N
"Failed to restart %s row(s)";"Restartovanje %s reda(ova) nije uspelo ";S;;T;N
"%s row(s) successfully restarted";"%s red(ovi) uspešno restartovani";S;;T;N
"To recipients";"Za primaoce";S;;T;N
"Mail subject";"Tema poruke";S;;T;N
"Scheduled at";"Zakazano za";S;;T;N
"Last retry";"Zadnji pokušaj";S;;T;N
"Retry number";"Pokušaj broj";S;;T;N
"Error message";"Poruka greške";S;;T;N
"Account name";"Ime naloga";B;;T;N
"Server Date";"Datum servera";S;;T;N
"Server Time";"Vreme servera";S;;T;N
"Mail template not defined in database for class %s";"Šablon poruke nije definisan u bazi za clasu %s";S;;T;N
"Recipients empty";"Nisu određeni primaoci";S;;T;N
"Body of mail not specified";"Poruka nije unešena";S;;T;N
"From address is empty";"Polje ‚‚sa adrese"" je prazno ";S;;T;N
"Failed to init mail headers";"Neuspela inicijalizacija mail headera";S;;T;N
"Email transfer method error";"Greška u Email transfer metodu";S;;T;N
"Application Title";"Post Affiliate Pro";S;;T;N
"Failed to save settings with error %s";"Čuvanje podešavanja nije uspelo. Greška %s";S;;T;N
"Proxy server settings saved.";"Sačuvana su podešavanja proksi servera.";S;;T;N
"Failed to load proxy server settings.";"Učitavanje podešavanja proksi servera nije uspelo.";S;;T;N
"Pdf saved";"Pdf sačuvan";S;;T;N
"Path to save file '%s' not exist";"Putanja za čuvanje fajla %s' ne postoji";S;;T;N
"Path to save file %s is null";"Putanja za čuvanje fajla %s je null";S;;T;N
"Unable to create file %s%s.pdf";"Nije moguće kreirati fajl %s%s.pdf";S;;T;N
"Pdf output: %s";"Pdf ispis: %s";S;;T;N
"Role";"Dozvola";B;;T;N
"Logged in";"Prijavljeni";S;;T;N
"Last Request";"Zadnji zahtev";S;;T;N
"entries";"unosi";S;;T;N
"SettingsImportExportDescription";"Sva sistemska podešavanja";B;;T;N
"Undefined table name";"Nedefinisano ime tabele";S;;T;N
"Undefined $option";"Nedefineisana $option";S;;T;N
"Table alias must by defined";"Tabela alias mora biti definisana";S;;T;N
"equals";"jednaki(e)";S;;T;N
"not equals";"nije jednako";S;;T;N
"is like";"je kao";S;;T;N
"is not like";"nije kao";S;;T;N
"is greater";"je veće";S;;T;N
